province_code,name_th,name_en,region4,dialect_group,border_country,centroid_lat,centroid_lon,region6
TH-83,ภูเก็ต,Phuket,South,Dambro,,,,ภาคใต้
TH-84,สุราษฎร์ธานี,Surat Thani,South,Dambro,,,,ภาคใต้
TH-85,ระนอง,Ranong,South,Dambro,MM,,,ภาคใต้
TH-86,ชุมพร,Chumphon,South,Transitional,MM,,,ภาคใต้
TH-90,สงขลา,Songkhla,South,Dambro,MY,,,ภาคใต้
TH-91,สตูล,Satun,South,Transitional,MY,,,ภาคใต้
TH-92,ตรัง,Trang,South,Dambro,,,,ภาคใต้
TH-93,พัทลุง,Phatthalung,South,Dambro,,,,ภาคใต้
TH-94,ปัตตานี,Pattani,South,Malay,,,,ภาคใต้
TH-95,ยะลา,Yala,South,Malay,MY,,,ภาคใต้
TH-96,นราธิวาส,Narathiwat,South,Malay,MY,,,ภาคใต้
